tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1380,35,thirdgame_purchase_gameid,3순위 게임ID,bigint,3순위 게임ID,2019-12-12 07:50:10.357,N
1380,36,thirdgame_purchase_gamename,3순위 구매 게임명,varchar,3순위 구매 게임명,2019-12-12 07:50:10.357,N
1380,37,thirdgame_purchaseamount_cash_nongift,3순위 게임 구매 금액,money,3순위게임 3개월 유료 구매금액 (선물제외),2019-12-12 07:50:10.357,N
1380,38,thirdgame_purchaseamount_cash_gift,3순위 게임 선물 금액,money,3순위게임 3개월 유료 구매금액 (선물),2019-12-12 07:50:10.357,N
1380,39,thirdgame_purchaseamount_ratio,3순위 게임 매출 비중,float,3순위 게임 3개월 누적 매출 비중,2019-12-12 07:50:10.357,N
1380,40,userlimitamount,자가 한도 금액,money,자가 설정한 충전 한도 금액,2019-12-12 07:50:10.357,N
1380,41,charge_amount_cash,충전 금액,money,3개월 누적 유료 충전 금액,2019-12-12 07:50:10.357,N
1380,42,first_charge_paymethod,1순위 충전 수단,varchar,3개월 총 누적 충전금액(유료) 기준 1순위 충전수단,2019-12-12 07:50:10.357,N
1380,43,first_charge_amount_cash,1순위 충전 금액,money,3개월 총 누적 충전금액(유료) 기준 1순위 충전수단,2019-12-12 07:50:10.357,N
1380,44,second_charge_paymethod,2순위 충전 수단,varchar,3개월 총 누적 충전금액(유료) 기준 2순위 충전수단,2019-12-12 07:50:10.357,N
1380,45,second_charge_amount_cash,2순위 충전 금액,money,3개월 총 누적 충전금액(유료) 기준 2순위 충전금액,2019-12-12 07:50:10.357,N
1380,46,loadingtime,데이터 적재 일시,datetime,데이터 적재 일시,2019-12-12 07:50:10.357,N
1399,0,sdate,집계일,date,한국 표준 시간 (KST:Korea Standard Time) 기준 집계 일자,2020-05-05 07:48:35.963,N
1399,1,timezone,집계 시간대,string,KST (Korea Standard Time),2020-05-05 07:48:35.963,N
1399,2,accountno,AccountNo,string,"게임에서 발행한 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-05-05 07:48:35.963,N
1399,3,nexonsn,NexonSN,long,nexon.com 계정 고유 번호(다른 명칭 으로 oid/uid/useroid/membersn 이라고도 함),2020-05-05 07:48:35.963,N
1399,4,npsn,NPSN,long,"TOY에서 발행된 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-05-05 07:48:35.963,N
1399,5,serviceareaid,게임계정 구분자,string,"accountno로 이용자를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-05-05 07:48:35.963,N
1399,6,characterid,캐릭터 ID,string,"캐릭터를 식별하는 유니크한(UID) 값, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-05-05 07:48:35.963,N
1399,7,serviceid,서비스아이디,long,"게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행), PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-05-05 07:48:35.963,N
1381,0,sdate,집계일,date,한국 표준 시간 (KST:Korea Standard Time) 기준 집계 일자,2019-12-13 08:00:30.247,N
1381,1,timezone,집계 시간대,string,KST (Korea Standard Time),2019-12-13 08:00:30.247,N
